age,workclass,fnlwgt,education,educational-num,occupation,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income_>50K
67,Private,366425,Doctorate,16,Exec-managerial,White,Male,99999,0,60,United-States,1
17,Private,244602,12th,8,Other-service,White,Male,0,0,15,United-States,0
31,Private,174201,Bachelors,13,Exec-managerial,White,Male,0,0,40,United-States,1
58,State-gov,110199,7th-8th,4,Transport-moving,White,Male,0,0,40,United-States,0
25,State-gov,149248,Some-college,10,Other-service,Black,Male,0,0,40,United-States,0
59,State-gov,105363,HS-grad,9,Adm-clerical,White,Male,0,0,40,United-States,0
70,Private,216390,9th,5,Machine-op-inspct,White,Female,2653,0,40,United-States,0
54,Self-emp-inc,129432,Bachelors,13,Exec-managerial,White,Male,15024,0,40,United-States,1
44,Private,163331,Some-college,10,Adm-clerical,White,Female,0,0,32,United-States,0
35,Private,38245,Some-college,10,Craft-repair,White,Male,0,0,60,United-States,0
71,Private,152307,HS-grad,9,Exec-managerial,White,Male,0,2377,45,United-States,1
53,Private,188644,Preschool,1,Other-service,White,Male,0,0,40,Mexico,0
30,Private,182833,Some-college,10,Exec-managerial,Black,Female,0,0,40,United-States,0
34,Private,434463,Bachelors,13,Machine-op-inspct,White,Female,0,0,39,United-States,0
62,Private,312818,Bachelors,13,Exec-managerial,White,Male,0,1902,1,United-States,1
21,State-gov,173534,Some-college,10,Prof-specialty,White,Female,0,0,40,Ecuador,0
42,Private,204235,HS-grad,9,Sales,White,Male,0,0,40,United-States,0
26,Private,193165,Some-college,10,Transport-moving,White,Male,0,0,52,United-States,1
43,Private,175133,Some-college,10,Tech-support,Black,Female,0,0,35,United-States,0
28,Private,161538,Bachelors,13,Tech-support,White,Female,0,0,35,United-States,0
23,Private,177787,Bachelors,13,Sales,White,Female,0,0,30,England,0
21,Private,157893,HS-grad,9,Transport-moving,White,Female,0,0,40,United-States,0
30,Private,296462,Masters,14,Prof-specialty,Black,Male,0,0,30,United-States,0
58,Private,136951,Bachelors,13,Adm-clerical,Asian-Pac-Islander,Male,0,0,40,Philippines,0
40,Private,87771,HS-grad,9,Adm-clerical,White,Female,0,0,40,United-States,0
21,Private,206008,Some-college,10,Adm-clerical,Black,Male,0,0,50,United-States,0
25,Private,340288,9th,5,Handlers-cleaners,White,Male,0,0,40,United-States,0
50,Self-emp-inc,262777,Masters,14,Exec-managerial,Asian-Pac-Islander,Male,0,0,45,China,0
27,Private,60288,Masters,14,Sales,White,Female,0,0,40,United-States,0
19,Private,366088,9th,5,Machine-op-inspct,White,Male,0,0,40,United-States,0
52,State-gov,254285,Doctorate,16,Prof-specialty,White,Male,0,1887,70,Germany,1
38,State-gov,534775,Some-college,10,Tech-support,Black,Female,0,0,50,United-States,0
49,Self-emp-inc,195727,HS-grad,9,Sales,White,Male,0,0,40,United-States,0
36,Private,160035,Some-college,10,Exec-managerial,White,Male,0,0,55,United-States,1
21,Private,199444,HS-grad,9,Adm-clerical,White,Female,0,0,44,United-States,0
32,Private,211743,Bachelors,13,Sales,White,Male,0,0,45,United-States,0
24,Private,56121,5th-6th,3,Farming-fishing,White,Male,0,0,60,Mexico,0
59,Private,131869,HS-grad,9,Other-service,White,Female,0,0,35,United-States,0
20,State-gov,318382,HS-grad,9,Adm-clerical,White,Male,0,0,40,United-States,0
58,Private,265579,HS-grad,9,Adm-clerical,White,Female,0,0,40,United-States,0
34,State-gov,180871,Bachelors,13,Adm-clerical,White,Male,0,0,55,United-States,0
52,Private,31533,HS-grad,9,Other-service,White,Male,0,0,40,United-States,0
56,Private,165867,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,0
27,State-gov,122660,Bachelors,13,Prof-specialty,Black,Female,0,0,40,United-States,0
49,Self-emp-inc,172246,Bachelors,13,Sales,White,Male,99999,0,40,United-States,1
33,Private,195770,HS-grad,9,Machine-op-inspct,White,Male,0,0,40,United-States,0
23,Private,276568,Some-college,10,Sales,White,Female,0,0,40,United-States,0
18,Self-emp-inc,147612,HS-grad,9,Farming-fishing,White,Female,0,0,8,United-States,0
37,Private,103925,HS-grad,9,Adm-clerical,White,Female,0,0,68,United-States,0
32,State-gov,71151,Bachelors,13,Tech-support,White,Male,0,0,20,United-States,0
32,Self-emp-inc,204470,Some-college,10,Sales,White,Male,0,0,99,United-States,1
37,Private,910398,Bachelors,13,Sales,Black,Female,0,0,40,United-States,0
31,Private,109055,HS-grad,9,Farming-fishing,White,Male,3137,0,45,United-States,0
19,Private,148644,HS-grad,9,Adm-clerical,White,Female,0,0,40,United-States,0
34,Private,176244,HS-grad,9,Machine-op-inspct,White,Female,0,0,40,Mexico,0
47,Private,168262,Some-college,10,Exec-managerial,White,Male,0,0,60,United-States,1
32,Self-emp-inc,78530,Some-college,10,Exec-managerial,White,Male,15024,0,50,United-States,1
42,State-gov,82161,HS-grad,9,Protective-serv,White,Male,0,0,72,United-States,1
26,Private,213412,11th,7,Craft-repair,White,Male,0,0,40,United-States,0
38,Private,61343,9th,5,Craft-repair,White,Male,0,0,40,United-States,0
54,State-gov,161334,Masters,14,Prof-specialty,Asian-Pac-Islander,Female,0,0,40,China,0
43,State-gov,23157,HS-grad,9,Transport-moving,White,Male,0,0,60,United-States,0
50,Self-emp-inc,160151,Some-college,10,Sales,White,Male,0,0,60,United-States,1
34,State-gov,355700,HS-grad,9,Adm-clerical,White,Female,0,0,20,United-States,0
47,Self-emp-inc,188610,HS-grad,9,Machine-op-inspct,White,Male,0,0,48,United-States,0
50,Private,27484,HS-grad,9,Exec-managerial,White,Male,0,0,50,United-States,1
21,Private,338162,HS-grad,9,Machine-op-inspct,Black,Female,0,0,37,United-States,0
18,Private,275848,12th,8,Sales,White,Female,0,0,16,United-States,0
24,Self-emp-inc,165474,Bachelors,13,Sales,White,Male,0,0,40,United-States,0
38,Private,103323,HS-grad,9,Machine-op-inspct,White,Male,0,0,40,United-States,0
45,Private,210875,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,0
69,Private,98170,7th-8th,4,Other-service,White,Female,1086,0,20,United-States,0
21,Private,654141,HS-grad,9,Craft-repair,Black,Male,0,0,32,United-States,0
64,Private,143110,Bachelors,13,Prof-specialty,White,Female,0,0,30,United-States,0
28,Private,285294,Bachelors,13,Sales,Black,Female,15024,0,45,United-States,1
49,Private,101320,Masters,14,Exec-managerial,White,Female,0,0,75,United-States,0
59,Private,653215,11th,7,Transport-moving,White,Female,0,0,40,United-States,0
50,State-gov,54342,HS-grad,9,Transport-moving,White,Male,0,0,40,United-States,0
58,State-gov,280519,HS-grad,9,Other-service,Black,Male,0,0,40,United-States,0
51,Self-emp-inc,192973,Bachelors,13,Protective-serv,Black,Male,0,0,40,United-States,1
38,Private,206951,Some-college,10,Craft-repair,White,Male,0,0,40,United-States,0
23,Private,120601,Assoc-voc,11,Craft-repair,Black,Male,0,0,40,United-States,0
46,Private,158825,HS-grad,9,Craft-repair,White,Female,14344,0,40,United-States,1
48,Private,185041,7th-8th,4,Transport-moving,White,Male,0,1672,55,United-States,0
17,Private,75333,10th,6,Sales,Black,Female,0,0,24,United-States,0
41,Private,196001,HS-grad,9,Sales,White,Female,0,0,20,United-States,0
30,State-gov,141297,Bachelors,13,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,India,1
25,Private,113099,HS-grad,9,Craft-repair,Black,Male,0,0,40,United-States,0
26,Private,162302,Some-college,10,Machine-op-inspct,Asian-Pac-Islander,Male,0,0,40,Philippines,0
48,Private,189123,Masters,14,Machine-op-inspct,White,Male,0,0,40,United-States,0
24,State-gov,43475,Bachelors,13,Prof-specialty,White,Male,0,0,40,United-States,0
58,Private,102791,HS-grad,9,Other-service,White,Female,0,0,40,United-States,0
36,Private,379522,HS-grad,9,Craft-repair,White,Male,15024,0,40,United-States,1
40,Private,283724,9th,5,Craft-repair,Black,Male,0,0,49,United-States,0
47,Private,262043,Bachelors,13,Adm-clerical,White,Female,0,0,40,United-States,0
39,State-gov,99156,Doctorate,16,Prof-specialty,White,Male,0,0,50,United-States,1
35,Private,207819,Bachelors,13,Exec-managerial,White,Male,15024,0,50,United-States,1
22,Private,184543,Some-college,10,Adm-clerical,White,Female,0,0,40,United-States,0
25,Private,211392,HS-grad,9,Other-service,White,Male,0,0,48,United-States,0
21,Private,230248,HS-grad,9,Adm-clerical,White,Female,0,0,25,United-States,0
26,Private,34402,Bachelors,13,Adm-clerical,White,Male,0,0,45,United-States,0
38,Private,103925,HS-grad,9,Adm-clerical,White,Female,0,0,35,United-States,0
44,Private,88808,12th,8,Transport-moving,White,Male,0,0,40,United-States,0
43,Private,167599,11th,7,Handlers-cleaners,White,Female,0,0,25,United-States,0
18,Private,118376,Some-college,10,Sales,White,Female,0,0,15,United-States,0
35,Private,187119,Some-college,10,Exec-managerial,White,Female,0,0,70,United-States,0
31,Private,328734,Masters,14,Prof-specialty,White,Female,0,0,30,United-States,0
49,Private,265295,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,0
28,Private,111900,Assoc-acdm,12,Sales,White,Male,0,0,30,United-States,0
24,Private,83783,Bachelors,13,Tech-support,White,Female,0,0,40,United-States,0
26,Private,154604,HS-grad,9,Sales,White,Female,0,0,40,United-States,0
53,Private,226135,9th,5,Craft-repair,Black,Male,0,0,40,Jamaica,0
51,Private,68882,1st-4th,2,Other-service,White,Female,0,0,35,Portugal,0
33,Private,219034,11th,7,Sales,White,Female,0,0,40,United-States,0
32,Private,169512,Bachelors,13,Sales,Black,Male,0,0,60,United-States,1
63,Private,440607,Preschool,1,Prof-specialty,Other,Male,0,0,30,Mexico,0
69,Private,361561,Prof-school,15,Prof-specialty,White,Male,0,0,3,United-States,0
43,Private,211128,Masters,14,Exec-managerial,White,Female,0,0,50,United-States,1
34,Private,263908,Some-college,10,Sales,White,Male,0,0,50,United-States,0
38,Private,102350,Some-college,10,Craft-repair,White,Male,0,0,40,United-States,0
40,Private,85668,7th-8th,4,Craft-repair,White,Male,0,0,60,United-States,0
44,Private,112797,9th,5,Other-service,White,Female,0,0,50,United-States,0
35,Private,111377,HS-grad,9,Transport-moving,White,Male,0,0,40,United-States,0
48,Private,345831,Some-college,10,Tech-support,White,Male,0,0,40,United-States,1
22,Private,326334,Some-college,10,Craft-repair,White,Male,0,0,35,United-States,0
44,Private,33521,Some-college,10,Exec-managerial,White,Male,0,0,40,United-States,1
36,Private,221650,Some-college,10,Craft-repair,White,Male,0,0,40,Japan,0
34,Private,163110,Masters,14,Sales,White,Male,0,0,40,United-States,0
34,Private,302770,Some-college,10,Sales,White,Male,0,0,60,United-States,0
62,Private,161802,1st-4th,2,Priv-house-serv,Black,Female,0,0,30,United-States,0
22,Private,298489,Some-college,10,Craft-repair,White,Male,0,0,40,United-States,0
37,Private,182668,10th,6,Transport-moving,White,Male,0,0,35,United-States,0
24,Private,275093,HS-grad,9,Handlers-cleaners,White,Female,0,0,36,United-States,0
45,Private,370274,12th,8,Craft-repair,White,Male,0,0,40,United-States,0
42,Private,482211,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,0
30,Private,97723,HS-grad,9,Craft-repair,White,Male,0,0,35,United-States,1
35,Private,189102,HS-grad,9,Exec-managerial,White,Male,0,0,55,United-States,1
37,Private,403344,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,0
45,Private,189792,Masters,14,Sales,White,Male,0,0,40,United-States,1
20,Private,262877,HS-grad,9,Craft-repair,White,Female,0,0,55,United-States,0
40,Private,226505,HS-grad,9,Adm-clerical,White,Female,0,0,46,United-States,1
31,Private,56510,Some-college,10,Craft-repair,Asian-Pac-Islander,Male,0,0,40,United-States,0
21,Private,345253,Some-college,10,Adm-clerical,Other,Male,2174,0,40,United-States,0
29,Private,133136,12th,8,Transport-moving,White,Male,0,0,40,United-States,1
29,Private,132686,HS-grad,9,Machine-op-inspct,White,Male,0,0,40,United-States,0
41,Private,311101,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,0
36,Private,172571,HS-grad,9,Sales,White,Male,0,0,45,United-States,0
42,Private,39060,HS-grad,9,Sales,White,Male,0,0,60,United-States,1
42,Private,144594,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,1
26,Private,297991,Bachelors,13,Sales,Asian-Pac-Islander,Female,0,1977,75,Cambodia,1
61,State-gov,347445,Masters,14,Exec-managerial,White,Male,0,0,40,United-States,1
43,Private,456236,Masters,14,Exec-managerial,White,Male,0,0,50,United-States,1
55,Private,380357,Bachelors,13,Sales,White,Male,0,0,60,,1
50,Private,176157,Masters,14,Exec-managerial,White,Male,0,0,50,United-States,1
34,Private,274577,HS-grad,9,Adm-clerical,Black,Female,0,0,40,United-States,0
33,Private,119176,Some-college,10,Adm-clerical,White,Female,0,0,40,United-States,0
19,Private,256979,HS-grad,9,Craft-repair,White,Male,0,0,35,United-States,0
32,Private,358655,Masters,14,Sales,White,Female,0,0,50,United-States,1
66,Private,102423,Assoc-voc,11,Adm-clerical,White,Male,0,0,30,United-States,0
22,Private,190625,Some-college,10,Adm-clerical,White,Male,0,0,35,United-States,0
56,Private,247337,Bachelors,13,Prof-specialty,White,Male,0,0,50,United-States,1
19,Private,248749,Some-college,10,Sales,White,Male,0,0,20,United-States,0
40,Private,34722,Some-college,10,Transport-moving,White,Male,0,0,48,United-States,1
35,Private,170617,HS-grad,9,Machine-op-inspct,Black,Female,0,0,48,United-States,0
60,Private,166330,HS-grad,9,Adm-clerical,White,Female,0,0,40,United-States,0
59,Private,216851,HS-grad,9,Machine-op-inspct,White,Male,0,0,40,United-States,0
36,Private,143123,Prof-school,15,Prof-specialty,White,Male,0,0,50,United-States,1
35,Private,41777,12th,8,Farming-fishing,White,Male,0,0,20,United-States,0
40,Private,175686,Some-college,10,Adm-clerical,White,Female,0,0,40,United-States,0
41,Self-emp-inc,218302,Bachelors,13,Sales,White,Male,0,0,60,United-States,1
52,Private,139176,HS-grad,9,Sales,White,Male,0,0,8,United-States,0
29,Private,163167,HS-grad,9,Sales,White,Male,0,0,40,United-States,0
17,Private,53611,12th,8,Other-service,White,Female,0,0,6,United-States,0
22,Private,226327,Some-college,10,Adm-clerical,White,Female,0,0,40,United-States,0
33,Private,258932,HS-grad,9,Exec-managerial,White,Female,0,0,40,United-States,0
21,Private,155483,Some-college,10,Craft-repair,White,Male,0,0,40,United-States,0
24,Private,283613,Bachelors,13,Prof-specialty,White,Male,0,0,40,United-States,0
50,Private,65408,HS-grad,9,Craft-repair,White,Male,0,0,50,United-States,1
56,Private,242782,HS-grad,9,Sales,White,Female,0,0,44,United-States,0
50,Private,205803,Masters,14,Sales,White,Male,15024,0,40,United-States,1
55,Private,35551,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,0
80,Private,148623,Prof-school,15,Prof-specialty,White,Male,0,0,35,United-States,1
58,Private,156040,Assoc-acdm,12,Machine-op-inspct,Black,Male,0,1848,40,United-States,1
36,Private,136629,Some-college,10,Machine-op-inspct,White,Male,0,0,40,United-States,1
22,Private,315476,11th,7,Craft-repair,White,Male,0,0,40,United-States,0
66,State-gov,132055,HS-grad,9,Exec-managerial,White,Male,0,1825,40,United-States,1
32,Private,312667,Bachelors,13,Exec-managerial,White,Male,2174,0,55,United-States,0
40,Private,180206,Assoc-acdm,12,Exec-managerial,White,Male,0,0,40,United-States,1
19,Private,87653,Some-college,10,Other-service,White,Female,0,0,25,United-States,0
29,Private,212588,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,0
21,Private,325923,Some-college,10,Tech-support,White,Male,0,0,35,United-States,0
28,Private,216178,Bachelors,13,Exec-managerial,White,Male,0,0,50,United-States,1
30,Private,245211,HS-grad,9,Machine-op-inspct,White,Male,0,2002,43,United-States,0
41,Private,116797,HS-grad,9,Sales,White,Male,7298,0,50,United-States,1
45,Self-emp-inc,122206,Assoc-acdm,12,Exec-managerial,White,Male,0,0,50,United-States,1
31,Private,231043,Some-college,10,Transport-moving,White,Male,0,0,50,United-States,0
24,Private,142227,Bachelors,13,Adm-clerical,White,Female,0,0,30,United-States,0
28,Private,375482,Bachelors,13,Sales,White,Male,0,0,40,United-States,0
26,Private,156848,Bachelors,13,Tech-support,White,Male,0,0,40,United-States,0
23,Private,217169,Bachelors,13,Adm-clerical,White,Female,0,0,40,United-States,0
48,Private,332884,Assoc-acdm,12,Craft-repair,White,Male,0,0,40,United-States,0
34,Private,265706,Masters,14,Sales,White,Male,0,0,60,United-States,1
38,Private,89559,Some-college,10,Prof-specialty,White,Female,0,0,40,Germany,0
40,Private,51151,Assoc-voc,11,Craft-repair,White,Male,0,0,40,United-States,0
44,Private,186790,Masters,14,Exec-managerial,White,Male,0,0,48,United-States,0
34,Private,250724,Bachelors,13,Sales,White,Male,0,0,45,Jamaica,0
30,Private,221178,HS-grad,9,Other-service,White,Male,0,0,28,United-States,0
50,Private,175804,HS-grad,9,Sales,White,Male,0,0,48,United-States,0
36,Private,214807,HS-grad,9,Other-service,White,Female,0,0,40,United-States,0
37,Private,305597,Bachelors,13,Prof-specialty,White,Male,0,0,45,United-States,1
20,Private,211049,Some-college,10,Exec-managerial,White,Female,0,0,30,United-States,0
29,Private,606111,Bachelors,13,Exec-managerial,White,Female,0,0,40,United-States,0
34,Private,127195,Some-college,10,Exec-managerial,White,Male,0,0,40,United-States,0
37,Private,200598,Assoc-acdm,12,Prof-specialty,White,Male,0,1740,45,United-States,0
25,Private,109390,HS-grad,9,Transport-moving,White,Male,0,0,70,United-States,0
30,Private,35724,Prof-school,15,Prof-specialty,White,Female,0,0,45,United-States,1
45,Self-emp-inc,61885,Bachelors,13,Exec-managerial,White,Male,15024,0,48,United-States,1
32,Private,262092,Bachelors,13,Prof-specialty,White,Male,7298,0,50,United-States,1
44,Private,187720,Assoc-voc,11,Craft-repair,White,Male,0,0,40,United-States,0
59,Self-emp-inc,145574,Assoc-voc,11,Exec-managerial,White,Male,0,0,40,United-States,1
45,Private,192360,Masters,14,Exec-managerial,White,Male,0,1902,50,United-States,1
32,Private,29933,Bachelors,13,Handlers-cleaners,White,Male,0,0,50,United-States,1
35,Private,66304,10th,6,Machine-op-inspct,White,Male,0,0,45,United-States,0
39,Private,185053,HS-grad,9,Machine-op-inspct,White,Female,0,0,40,United-States,0
37,Private,222450,HS-grad,9,Sales,White,Male,0,2339,40,El-Salvador,0
22,Private,233495,9th,5,Priv-house-serv,White,Female,0,0,40,United-States,0
30,Private,189620,Some-college,10,Prof-specialty,White,Female,6849,0,40,England,0
17,State-gov,179319,10th,6,Other-service,White,Male,0,0,30,United-States,0
60,Private,320422,Some-college,10,Tech-support,White,Female,6849,0,50,United-States,0
49,Private,176341,Bachelors,13,Tech-support,Asian-Pac-Islander,Female,0,0,40,India,0
49,Private,247892,Some-college,10,Craft-repair,Black,Male,0,0,30,United-States,0
32,Private,295282,HS-grad,9,Craft-repair,White,Male,0,0,48,United-States,0
22,Private,38444,Bachelors,13,Prof-specialty,White,Female,0,0,10,United-States,0
44,Private,344060,Bachelors,13,Prof-specialty,White,Male,27828,0,40,United-States,1
34,Private,109917,HS-grad,9,Machine-op-inspct,White,Female,0,0,40,United-States,0
32,Private,70377,Prof-school,15,Prof-specialty,White,Female,0,0,40,United-States,0
47,Private,193061,Some-college,10,Exec-managerial,White,Male,0,0,60,United-States,0
35,Private,174308,Some-college,10,Transport-moving,White,Male,0,0,40,United-States,0
30,Private,97933,Assoc-acdm,12,Transport-moving,White,Female,0,1485,37,United-States,1
58,Private,197642,Some-college,10,Adm-clerical,White,Female,0,0,39,United-States,0
38,Private,54953,Bachelors,13,Exec-managerial,White,Male,0,0,60,United-States,0
25,Private,60358,Some-college,10,Sales,White,Male,0,0,40,United-States,0
37,Private,99270,HS-grad,9,Transport-moving,White,Female,0,0,40,United-States,0
24,Private,87546,Some-college,10,Adm-clerical,White,Female,0,0,40,United-States,0
41,Private,42563,Bachelors,13,Tech-support,White,Female,0,0,25,United-States,1
44,Private,325461,Bachelors,13,Exec-managerial,White,Male,0,1902,50,United-States,1
58,Self-emp-inc,186791,Some-college,10,Transport-moving,White,Female,0,0,40,United-States,1
39,Private,211154,Bachelors,13,Tech-support,White,Male,0,0,50,United-States,0
45,Private,223999,9th,5,Other-service,White,Male,0,1848,40,United-States,1
36,Private,337039,Assoc-acdm,12,Tech-support,Black,Male,14344,0,40,England,1
17,Private,48610,11th,7,Farming-fishing,White,Male,0,0,45,United-States,0
45,Private,363087,HS-grad,9,Machine-op-inspct,Black,Female,0,0,40,United-States,0
20,Private,62865,HS-grad,9,Priv-house-serv,White,Female,0,0,45,United-States,0
34,Private,561334,Some-college,10,Exec-managerial,White,Male,0,0,50,United-States,1
28,Private,180007,Some-college,10,Handlers-cleaners,White,Male,0,0,40,United-States,0
33,Private,236818,Assoc-voc,11,Prof-specialty,Black,Female,0,0,26,United-States,0
63,Private,339473,Some-college,10,Sales,White,Female,0,0,60,United-States,0
28,Private,208965,9th,5,Machine-op-inspct,Other,Male,0,0,40,Mexico,0
23,Private,70894,Assoc-acdm,12,Craft-repair,White,Male,0,0,40,United-States,0
90,Private,40388,Bachelors,13,Exec-managerial,White,Male,0,0,55,United-States,0
34,Private,321709,HS-grad,9,Other-service,White,Female,0,0,28,United-States,0
40,Private,230684,HS-grad,9,Prof-specialty,White,Male,0,0,40,United-States,1
34,Private,232475,Some-college,10,Exec-managerial,White,Male,0,0,50,United-States,0
46,Private,208872,Assoc-voc,11,Prof-specialty,White,Male,0,0,40,United-States,1
48,Private,250733,Some-college,10,Craft-repair,White,Male,0,0,50,United-States,0
21,Private,161210,HS-grad,9,Machine-op-inspct,White,Male,0,0,50,United-States,0
35,Private,317153,HS-grad,9,Sales,White,Female,0,0,40,United-States,0
20,Private,174436,HS-grad,9,Craft-repair,White,Male,0,0,60,United-States,0
29,Private,242597,Bachelors,13,Tech-support,White,Male,0,0,40,United-States,0
59,Private,113959,HS-grad,9,Adm-clerical,White,Male,0,0,45,United-States,1
26,Private,165510,Bachelors,13,Farming-fishing,White,Male,0,0,40,United-States,0
26,Self-emp-inc,289224,Bachelors,13,Exec-managerial,White,Male,0,0,40,United-States,0
37,Private,333651,HS-grad,9,Adm-clerical,White,Male,0,0,42,United-States,0
30,Private,227146,Bachelors,13,Sales,White,Male,0,0,40,United-States,1
53,Private,149220,Masters,14,Sales,White,Male,0,0,40,United-States,0
36,Private,168747,Bachelors,13,Transport-moving,White,Male,0,0,40,United-States,0
33,Private,167309,Bachelors,13,Adm-clerical,White,Male,0,0,40,United-States,0
21,Private,129699,HS-grad,9,Adm-clerical,White,Male,0,0,40,United-States,0
32,Private,80058,HS-grad,9,Adm-clerical,White,Male,0,0,40,United-States,0
36,Private,309122,HS-grad,9,Adm-clerical,White,Female,0,0,35,United-States,0
46,Private,149640,Bachelors,13,Prof-specialty,White,Male,0,0,45,England,1
21,Private,267040,10th,6,Prof-specialty,Black,Female,0,0,40,United-States,0
73,Private,242769,HS-grad,9,Machine-op-inspct,White,Male,3471,0,40,England,0
39,Private,173175,Bachelors,13,Exec-managerial,White,Male,15024,0,50,United-States,1
25,Private,485496,HS-grad,9,Machine-op-inspct,Black,Female,0,0,40,United-States,0
38,Private,217926,HS-grad,9,Craft-repair,Black,Male,0,0,40,United-States,0
56,Private,456592,HS-grad,9,Other-service,White,Female,0,0,37,United-States,0
22,Private,228516,HS-grad,9,Machine-op-inspct,White,Male,0,0,40,United-States,0
47,Private,140664,Bachelors,13,Sales,White,Male,0,0,45,United-States,0
44,Private,56483,Bachelors,13,Adm-clerical,White,Female,0,0,37,United-States,0
27,Private,191515,Masters,14,Prof-specialty,White,Male,0,0,45,United-States,0
35,Private,166416,Bachelors,13,Exec-managerial,White,Male,0,0,50,United-States,1
